labels,cnt
3,18
3,19
4,78
2,80
2,396
4,24
4,41
4,122
2,53
1,75
0,94
3,586
1,214
3,133
4,50
0,23
1,180
3,120
2,124
3,60
4,104
2,18
0,56
3,119
3,98
2,165
0,389
1,503
1,94
0,97
4,9
0,131
1,179
3,116
3,119
1,90
0,87
4,28
0,339
0,98
3,83
4,27
3,24
2,118
3,138
2,193
3,114
4,76
0,24
0,226
1,107
0,75
1,73
2,67
4,8
1,77
2,264
1,67
0,90
4,50
0,48
4,222
0,83
3,89
2,147
4,46
2,98
4,36
3,60
0,226
4,140
1,78
0,91
1,119
0,83
4,57
3,15
3,273
4,31
3,309
0,35
1,272
4,25
4,40
3,104
1,99
1,68
4,70
1,131
3,33
0,52
1,119
2,237
3,133
3,57
4,116
2,210
4,117
2,112
3,104
3,70
4,46
0,45
4,38
0,288
2,22
0,75
4,166
1,100
0,85
2,115
2,211
1,301
4,50
0,609
4,159
0,85
4,117
1,74
1,61
4,72
3,128
0,107
1,163
1,52
1,199
4,146
1,74
3,51
0,40
4,90
2,140
0,84
2,163
0,76
0,64
2,119
4,70
1,306
2,43
1,111
2,131
2,65
0,99
2,112
0,123
4,73
1,115
2,106
0,22
2,314
4,83
4,152
1,44
2,33
4,171
2,373
3,33
4,119
4,133
2,183
0,695
0,148
0,121
3,48
3,27
2,31
2,59
4,40
1,69
4,25
2,37
0,66
2,221
2,108
4,40
1,22
2,81
0,23
0,24
1,77
4,19
3,225
3,26
3,50
0,54
3,31
1,183
3,79
3,57
3,136
1,50
0,164
3,21
4,45
4,22
2,49
4,82
2,92
4,46
2,41
3,80
3,95
1,28
4,80
2,552
1,69
2,303
0,175
4,84
0,226
2,111
0,24
3,61
2,33
2,103
1,115
4,159
2,184
2,209
3,76
1,49
1,176
2,37
4,23
0,54
0,40
2,38
1,159
4,16
1,34
2,86
1,333
0,372
4,105
3,460
2,59
0,30
4,41
2,90
1,82
4,46
4,111
1,133
1,40
2,61
4,37
4,101
1,54
2,362
2,359
3,49
4,57
4,69
4,28
0,39
3,39
3,22
1,92
0,107
2,245
4,65
3,115
1,14
0,118
0,208
4,99
1,149
4,40
0,97
4,44
3,31
3,61
0,248
1,75
1,88
2,165
1,67
0,19
2,132
0,62
2,132
0,124
0,111
3,21
0,549
1,141
2,300
0,134
4,218
4,70
0,168
1,89
4,35
1,65
0,12
3,84
1,208
1,155
2,33
4,46
2,200
4,61
2,51
3,27
2,36
3,71
4,353
0,151
2,166
4,58
0,38
0,111
2,205
4,379
2,77
4,125
3,90
3,89
0,28
1,301
2,23
2,45
2,212
2,106
4,41
4,44
4,101
0,275
4,76
1,202
2,170
2,71
3,70
0,16
3,138
0,212
2,333
2,66
1,173
0,33
2,19
2,32
0,129
0,160
1,64
3,85
2,334
1,176
2,223
4,5
2,22
4,989
4,57
4,20
3,264
1,264
4,33
1,125
1,69
4,82
0,24
4,51
3,187
1,154
4,189
4,242
3,51
2,73
2,47
4,175
3,218
1,135
0,184
1,120
1,89
1,22
0,24
4,35
1,91
1,60
3,98
4,170
4,22
0,286
0,50
3,58
0,32
4,30
1,34
4,49
1,88
1,115
3,163
0,297
2,38
3,89
2,11
3,50
0,56
4,72
1,359
4,105
4,26
0,44
0,197
3,21
3,34
0,112
4,117
4,83
4,17
0,82
4,49
3,132
2,99
1,31
3,112
3,51
0,62
2,61
4,149
4,65
4,139
1,32
3,58
1,110
2,166
1,209
3,22
1,19
3,163
3,52
2,98
3,130
2,79
1,161
1,932
4,56
3,94
4,35
1,174
2,136
1,69
2,129
4,50
0,219
2,74
2,20
1,107
0,198
1,201
4,46
0,51
2,145
0,41
3,89
0,109
2,256
1,132
2,149
3,383
4,24
0,20
0,210
2,50
0,56
4,92
1,176
3,210
0,102
2,111
1,23
2,112
1,20
4,39
1,74
3,296
3,175
4,41
3,141
2,229
0,45
3,89
3,56
1,111
0,24
2,74
1,460
3,203
4,37
4,257
2,111
2,631
1,113
3,24
3,54
2,31
4,36
2,115
3,27
0,237
0,32
4,47
1,126
2,183
3,61
3,234
4,110
4,40
2,59
2,69
1,139
1,45
3,57
1,76
4,58
2,108
0,63
3,88
1,242
4,18
2,62
3,103
2,95
4,41
4,160
4,52
0,216
2,42
4,94
3,100
1,159
1,90
1,205
0,301
2,54
2,159
4,151
0,39
4,43
4,29
2,60
4,161
0,256
4,125
2,95
3,14
4,112
4,49
1,138
1,304
2,47
1,99
3,168
3,15
4,65
3,153
0,33
2,136
0,40
3,35
0,46
4,50
4,174
4,502
2,138
1,150
3,84
4,25
3,168
3,167
4,79
4,89
0,23
4,28
3,471
2,433
2,39
3,15
0,102
0,30
0,221
0,362
2,71
3,44
3,28
1,130
1,139
0,62
3,154
2,77
2,109
3,40
4,70
4,33
1,115
4,97
0,131
4,88
1,232
0,48
1,64
1,141
3,81
1,194
2,42
3,49
0,65
1,159
0,13
1,167
1,110
1,100
3,159
0,111
4,20
4,37
2,205
4,29
4,37
3,110
0,191
0,80
1,316
3,285
3,226
0,98
0,119
1,68
3,178
0,247
3,60
3,247
1,26
4,126
4,232
2,142
4,49
4,17
4,64
4,83
3,84
1,66
3,64
0,37
0,30
2,41
3,106
4,61
0,242
3,136
2,47
3,316
0,129
0,128
3,114
3,90
0,25
2,170
4,56
1,182
2,88
1,95
0,73
4,30
2,146
3,71
2,214
2,34
2,211
1,20
0,15
4,114
1,100
1,41
0,44
0,106
3,104
0,372
1,225
2,164
2,89
4,46
4,90
1,80
2,43
2,76
2,130
1,37
1,73
1,73
3,143
2,61
1,78
3,42
0,338
0,137
3,149
2,131
2,53
1,72
3,38
4,44
3,44
1,125
2,100
0,32
3,51
2,40
1,71
2,35
1,58
4,64
1,76
3,50
2,107
1,53
0,39
1,242
4,184
2,292
2,195
4,235
4,63
1,209
0,41
2,154
0,213
3,172
3,37
2,27
1,659
4,24
4,64
1,25
4,116
1,97
4,65
4,85
0,37
4,101
3,17
1,136
4,187
4,100
4,105
3,125
3,34
2,248
0,204
4,25
3,72
1,417
3,70
4,168
2,29
0,191
2,67
2,50
2,27
1,51
2,93
2,28
4,247
0,74
4,15
2,42
0,133
4,92
1,203
0,209
2,81
3,127
2,346
1,77
2,284
4,145
0,55
4,62
0,142
2,109
4,35
0,13
0,86
0,117
3,118
2,34
4,32
4,67
0,38
1,223
2,134
3,90
4,126
3,97
3,113
1,137
4,35
4,126
0,35
2,123
0,96
0,49
4,54
2,18
0,114
4,85
1,48
4,30
3,45
0,48
3,247
0,55
4,95
4,56
1,212
1,147
1,68
4,138
0,179
1,26
2,27
4,84
0,213
4,19
3,78
4,88
0,40
4,48
0,657
1,148
4,16
0,174
4,83
2,40
4,50
4,71
3,23
2,140
3,66
0,109
0,50
0,28
4,9
0,59
2,308
1,203
2,63
3,23
1,248
1,171
2,131
4,36
2,170
2,46
0,83
4,32
2,201
0,46
2,226
1,106
3,45
3,102
4,81
0,65
2,52
2,143
1,160
0,123
1,248
1,35
2,129
4,41
0,59
3,144
3,85
4,52
1,235
0,431
4,47
1,62
4,149
0,115
2,75
2,123
1,200
1,41
1,82
1,38
4,73
1,42
1,240
1,42
1,129
0,29
1,80
2,50
1,39
2,194
0,337
1,30
3,71
4,45
1,91
2,24
2,32
1,55
2,166
0,527
3,66
3,30
2,70
0,516
0,14
3,37
3,136
0,138
2,186
1,148
0,33
4,71
0,60
1,29
2,55
4,65
3,24
0,67
3,196
3,86
3,81
2,112
4,131
0,109
0,190
4,72
3,84
1,104
1,26
3,24
1,57
1,60
0,138
2,324
2,54
1,112
1,174
0,193
3,102
4,15
1,850
4,128
2,281
0,31
4,163
0,285
2,89
4,56
4,79
0,139
2,29
1,42
1,60
4,95
2,98
4,124
2,184
1,210
4,36
0,216
4,245
0,84
0,222
1,96
1,58
1,178
2,12
1,157
1,70
0,448
3,33
4,33
3,129
4,53
3,45
1,143
3,133
0,376
1,17
3,14
2,139
1,169
4,186
3,51
1,483
1,34
3,80
0,38
2,134
0,105
0,409
1,74
0,206
4,35
3,110
1,475
2,145
0,195
3,144
2,66
1,121
3,18
2,227
4,133
4,44
4,27
0,35
1,81
3,182
4,22
0,49
0,90
2,77
1,382
2,21
0,56
0,33
2,115
0,29
3,121
0,191
2,98
2,49
3,174
2,29
4,92
1,28
0,36
2,296
0,145
2,26
4,87
2,101
1,118
3,61
4,32
1,96
3,35
1,60
3,129
3,138
0,53
3,99
4,51
1,66
2,321
2,107
0,46
3,116
3,80
3,37
1,188
2,206
3,44
2,209
1,761
0,119
0,36
1,44
4,47
0,99
0,144
2,65
2,139
1,111
2,467
2,104
2,402
2,77
0,328
1,126
2,42
1,265
2,29
3,83
1,457
4,88
3,197
1,188
1,37
3,402
1,242
2,53
1,276
4,35
2,40
4,107
0,47
0,63
4,12
2,36
2,167
1,34
2,69
1,147
0,78
1,706
1,60
2,298
0,96
1,71
0,106
4,110
4,61
1,275
4,33
2,69
2,73
3,146
4,118
4,34
3,35
0,132
2,152
2,104
4,63
3,159
0,45
2,177
0,80
3,390
2,117
4,97
4,105
4,45
2,104
3,256
2,89
4,50
2,252
2,278
2,25
3,51
4,79
1,184
3,47
4,67
4,54
2,254
3,279
3,138
2,252
0,160
0,154
3,40
4,146
2,126
2,96
2,153
0,54
1,121
1,322
2,193
2,52
3,169
1,181
4,31
4,124
0,16
1,109
4,137
4,87
1,170
0,130
0,49
3,72
4,13
2,195
1,103
2,88
3,152
2,170
2,152
0,62
2,87
3,271
0,100
2,43
3,165
3,53
1,21
4,81
3,49
4,56
2,51
4,131
4,27
4,98
0,52
0,499
0,45
3,322
3,165
2,50
4,45
3,115
4,19
4,102
0,16
2,108
1,126
1,256
0,66
4,91
0,109
2,108
1,89
4,134
0,92
2,114
1,171
2,17
2,38
4,68
0,110
4,16
2,138
1,6
3,96
1,210
2,86
3,162
0,89
4,18
2,99
0,225
0,34
2,17
0,24
4,60
3,232
2,163
4,75
3,110
0,262
2,261
0,75
4,41
3,105
3,134
3,75
1,69
4,238
0,90
1,58
2,75
2,62
3,259
0,34
0,279
3,163
1,14
0,48
0,69
0,198
1,166
1,111
3,199
0,95
4,156
2,110
2,322
1,33
4,59
0,337
2,501
0,82
0,242
3,297
4,81
4,40
4,196
3,72
1,157
3,60
3,115
0,163
2,103
0,707
4,22
4,48
1,189
1,131
3,224
3,218
3,172
2,53
4,72
1,211
2,69
3,53
1,105
2,215
1,41
3,37
4,88
4,53
0,35
3,149
1,109
1,53
2,307
2,20
4,85
1,255
4,67
1,415
0,112
3,24
1,53
0,99
0,111
4,50
4,57
0,267
3,198
0,39
0,78
2,20
3,126
0,131
3,70
0,19
3,306
2,35
1,124
1,114
0,59
0,92
3,135
4,105
3,35
0,76
4,219
3,54
1,27
1,139
0,35
2,142
0,30
1,126
0,156
4,48
4,51
0,128
4,114
0,100
4,150
2,59
2,83
3,135
0,71
2,91
4,126
2,80
4,55
2,97
3,297
0,600
3,67
3,14
2,122
3,90
3,101
4,136
3,202
1,55
2,130
1,206
1,90
1,270
1,127
0,349
3,57
2,61
1,159
4,38
3,52
0,69
1,82
0,125
4,44
0,76
0,185
2,231
3,53
1,252
3,243
2,147
1,59
0,38
1,57
3,47
3,125
4,148
0,234
2,173
2,46
2,58
1,54
1,52
0,359
3,17
3,31
0,148
0,178
3,395
3,222
2,34
2,101
1,54
4,27
3,36
0,119
3,36
1,130
2,81
1,153
0,101
3,39
2,75
3,57
3,94
2,143
4,225
4,64
2,155
3,83
3,89
1,870
1,73
4,128
3,437
4,53
0,89
3,166
3,24
1,209
1,83
2,73
4,125
0,137
1,187
2,58
4,52
4,15
1,123
1,131
1,75
2,86
0,187
0,106
4,95
3,19
4,41
0,63
2,311
3,31
3,88
1,233
0,321
1,52
2,53
1,115
4,129
4,34
4,108
0,76
3,268
0,143
1,71
2,229
0,152
3,49
2,299
0,333
2,123
1,210
4,44
0,110
1,106
2,151
4,26
2,81
4,43
3,87
0,254
1,44
2,24
2,130
2,167
1,27
4,31
0,72
1,135
0,48
0,42
2,126
0,91
2,302
4,29
2,102
1,30
4,30
3,37
0,21
2,96
0,960
2,146
1,251
2,50
3,313
3,90
1,198
0,71
2,97
3,213
4,62
4,44
0,129
0,218
1,230
2,78
4,115
1,187
2,79
1,133
4,117
3,34
0,112
1,381
0,266
3,174
2,55
1,83
0,232
3,219
1,50
4,22
0,486
4,41
0,73
3,110
4,124
3,76
1,77
0,198
1,164
3,115
1,98
2,160
0,53
3,100
3,161
2,58
0,111
3,368
2,77
2,89
2,62
0,33
1,120
2,105
3,185
1,242
4,224
1,166
0,185
2,114
0,84
3,105
1,15
3,41
0,211
2,63
1,84
2,83
2,114
1,145
3,35
4,18
0,72
1,118
0,162
3,86
3,40
4,110
0,130
2,210
3,438
2,85
1,118
4,620
0,48
0,154
2,31
1,117
1,181
3,94
0,69
1,160
0,49
2,12
3,182
0,42
4,219
3,163
2,57
0,146
0,47
0,61
4,59
4,94
0,247
2,43
3,29
4,71
2,22
1,152
2,112
4,57
0,37
4,52
4,91
4,539
4,20
4,48
3,32
3,42
1,17
4,76
4,118
4,81
3,212
2,456
4,119
2,82
1,153
2,35
2,44
1,112
1,83
0,44
2,114
1,98
1,273
3,214
1,55
3,42
3,51
3,132
0,47
4,93
0,351
1,135
1,321
0,178
3,329
3,43
1,272
4,19
3,105
3,34
4,49
3,160
2,178
0,674
1,144
0,23
3,317
3,57
3,101
4,80
1,173
3,129
1,84
2,482
1,42
1,495
0,167
1,99
4,35
4,20
2,71
2,34
2,72
0,214
4,83
4,138
1,23
3,67
0,78
2,83
3,165
0,36
1,37
3,75
4,108
1,70
2,40
3,29
3,91
1,251
2,129
2,58
2,118
4,88
1,231
4,53
4,103
0,88
4,40
4,13
3,111
0,182
1,100
3,100
4,34
2,90
2,84
0,250
0,90
3,55
2,40
3,53
1,113
1,78
2,70
1,89
2,153
1,130
4,74
1,44
1,130
0,39
0,193
2,54
3,132
3,130
0,557
0,152
0,141
3,77
3,107
2,55
3,38
4,18
3,85
2,82
0,186
1,442
4,97
1,17
3,26
4,52
3,274
2,113
1,34
3,29
2,66
0,106
3,193
2,162
3,55
4,117
3,172
3,215
0,207
3,55
3,142
2,36
2,169
3,72
3,75
3,193
0,464
1,71
1,136
4,51
4,71
0,12
0,218
4,15
0,37
1,106
4,73
2,87
4,109
2,186
4,71
1,66
1,136
3,68
4,58
4,16
0,80
0,244
1,135
3,103
2,26
4,15
3,172
2,162
1,110
0,320
1,85
0,54
1,71
4,132
0,435
1,50
2,137
1,32
4,288
1,46
1,266
0,82
3,71
1,90
4,197
3,153
1,55
4,58
2,175
4,134
4,46
2,324
0,199
3,87
3,54
2,122
0,81
1,95
3,41
0,49
3,40
1,256
2,46
3,111
1,88
1,185
3,176
1,54
4,26
4,92
0,194
4,35
2,41
2,40
0,32
4,13
2,48
0,104
3,128
1,120
0,165
3,176
0,107
0,53
2,93
4,77
0,236
1,217
3,32
1,42
4,24
1,335
2,93
0,517
0,22
0,166
2,190
4,71
2,115
2,219
2,273
0,412
4,25
3,18
0,123
2,165
4,37
4,263
1,60
4,34
1,15
3,265
1,195
3,69
3,428
0,538
3,197
3,30
4,34
0,27
0,95
3,69
3,85
1,119
0,85
0,93
0,41
3,88
1,150
1,45
0,17
2,146
4,20
0,27
4,98
1,201
3,139
4,203
1,298
1,88
1,85
1,49
0,108
0,65
3,76
3,111
0,33
0,35
3,175
3,44
4,118
1,97
0,132
2,111
1,52
4,48
3,46
1,706
4,36
2,50
3,197
4,63
2,373
1,326
2,146
3,252
0,57
2,79
4,20
0,441
3,27
3,270
1,74
0,89
1,248
2,25
2,123
3,110
3,181
4,65
2,31
4,69
0,119
2,151
3,106
0,219
1,127
4,30
1,87
1,19
1,55
0,163
3,31
2,81
0,68
0,153
1,66
1,265
4,59
4,63
0,51
1,23
3,25
3,87
4,73
4,57
0,194
1,82
3,80
4,310
2,78
2,58
0,79
2,29
2,109
3,192
0,159
4,103
4,156
2,311
3,14
3,139
1,121
3,201
4,67
1,101
0,131
2,135
3,13
0,103
0,21
0,206
3,256
4,154
2,368
3,128
3,30
3,126
2,351
3,26
3,146
2,83
3,60
4,297
1,155
3,296
2,20
1,156
2,135
1,45
1,271
2,125
2,219
0,44
2,108
3,46
4,384
1,205
1,119
1,158
3,19
1,157
3,49
2,258
4,29
2,70
0,70
4,18
1,43
1,668
1,159
3,148
3,189
2,198
2,65
4,84
1,93
2,70
0,44
3,119
2,29
3,206
3,264
4,54
0,111
2,50
0,74
3,133
4,28
2,93
1,71
4,59
2,409
0,22
2,46
1,26
0,157
2,255
1,199
4,44
3,245
3,46
4,26
3,51
1,196
3,225
1,140
3,31
1,30
1,134
3,23
3,8
1,402
2,525
3,94
0,83
0,15
4,26
2,148
2,131
1,150
2,308
1,177
4,89
2,22
0,121
3,205
2,53
0,47
2,59
0,195
2,18
4,55
1,68
0,154
1,271
0,42
0,18
2,33
2,173
3,221
2,62
4,31
2,117
2,240
1,62
4,62
1,103
4,125
4,88
2,54
1,110
4,54
3,40
1,395
4,160
0,515
4,43
4,128
3,151
3,41
0,95
2,15
1,152
1,147
1,562
0,39
2,235
4,33
4,83
0,48
4,112
1,167
1,98
4,14
2,246
1,129
3,22
0,155
2,46
2,77
1,93
2,235
1,40
4,50
2,60
0,90
2,168
4,93
3,210
0,738
1,453
0,52
3,195
4,15
4,157
1,79
0,114
2,384
3,15
4,170
2,153
1,114
1,153
3,50
3,156
0,53
4,56
4,44
1,177
0,158
4,26
1,230
0,133
4,10
3,40
0,240
3,13
2,86
2,59
4,29
1,257
4,142
0,132
2,114
3,308
2,264
0,82
1,281
0,169
2,47
2,58
4,20
1,217
3,55
4,285
4,253
2,176
0,99
0,107
0,240
3,130
4,31
3,90
3,46
0,35
1,77
4,141
2,55
3,456
4,117
4,268
4,148
1,118
1,154
1,89
2,50
3,17
2,148
2,50
2,16
2,86
4,111
2,113
3,60
1,113
0,69
2,123
1,249
3,24
1,34
4,20
1,150
4,107
1,256
1,111
1,141
2,138
0,486
1,223
4,102
4,140
0,261
4,99
3,55
3,31
2,169
2,134
4,42
1,313
1,230
0,17
3,234
1,182
4,69
2,150
1,429
2,180
3,122
4,112
0,75
0,48
0,71
0,101
0,122
4,123
3,188
3,70
3,54
3,219
2,367
0,56
2,91
3,172
4,62
3,167
4,90
0,142
1,26
2,153
3,78
4,28
0,93
2,107
0,12
0,54
4,109
2,138
2,238
3,110
2,61
0,66
4,65
3,257
4,160
4,41
3,177
2,103
3,42
0,98
2,26
4,29
3,80
2,168
0,61
0,90
2,281
1,86
3,229
0,38
4,20
3,19
3,209
1,66
4,235
1,244
1,24
3,49
4,177
0,102
1,388
4,60
1,66
2,123
0,97
1,270
1,53
2,438
4,146
0,51
1,217
2,225
4,35
4,263
2,139
2,22
3,157
0,249
0,105
1,86
0,183
1,17
3,63
0,15
0,59
0,345
2,77
2,263
3,94
3,64
2,130
4,341
3,21
4,70
3,445
4,44
0,12
1,35
4,220
4,20
1,196
1,35
3,45
1,15
2,65
4,20
3,109
1,35
1,107
4,30
3,133
4,23
1,92
3,188
0,176
2,73
4,57
0,52
2,50
2,235
4,70
2,129
1,347
3,70
1,50
0,664
3,130
1,58
3,20
3,211
2,102
1,121
2,87
3,25
2,83
3,158
2,102
1,214
2,270
2,101
0,32
1,109
0,246
2,269
1,283
1,148
1,63
4,510
4,137
2,113
3,18
2,272
2,64
0,282
4,22
4,36
0,71
1,591
0,32
4,30
1,101
4,69
1,43
1,57
1,48
2,102
0,182
1,120
2,42
0,15
1,99
2,351
1,11
1,143
1,78
3,180
4,35
0,58
2,404
2,126
1,161
3,24
3,22
3,157
2,130
4,46
2,75
2,51
1,106
2,59
1,55
3,101
3,65
2,30
4,55
3,203
4,64
0,84
2,57
4,268
2,137
2,172
0,162
1,221
4,27
0,23
2,130
1,56
3,132
1,249
4,60
1,111
2,62
3,244
3,75
3,81
0,69
0,241
4,324
0,160
4,37
2,228
4,134
3,96
4,62
0,75
0,77
1,108
2,50
0,119
4,260
2,98
3,161
4,222
1,146
1,135
2,89
4,81
2,60
4,52
1,140
3,69
0,399
4,39
4,107
1,84
1,352
2,231
0,24
4,117
4,25
4,70
3,49
4,238
1,163
3,58
4,67
4,52
4,98
2,33
1,126
1,198
0,81
1,165
4,38
4,185
0,124
3,89
4,23
2,470
2,146
3,30
3,116
4,32
0,479
4,509
3,170
2,238
2,75
1,123
1,47
1,133
3,92
0,23
4,9
3,52
3,92
2,288
3,516
0,317
2,206
1,348
0,56
1,93
4,56
0,70
2,76
4,240
0,81
2,75
3,168
3,150
0,96
2,175
4,173
1,64
4,30
3,57
2,124
4,96
1,42
4,42
3,112
0,95
4,235
3,54
0,68
1,104
3,10
2,36
4,85
3,71
2,209
4,25
2,133
4,114
2,85
3,86
2,185
2,90
1,60
1,83
0,74
0,36
3,41
0,214
2,358
4,77
4,34
3,78
0,40
3,82
2,167
4,20
4,142
0,34
4,127
2,97
2,467
2,257
1,306
4,199
4,258
0,376
2,25
1,20
1,70
0,129
4,30
2,133
3,168
2,119
2,124
3,179
3,82
4,57
0,695
2,158
3,80
2,56
3,52
1,35
4,173
4,39
2,274
3,48
4,20
2,129
1,277
0,53
0,119
3,153
0,54
3,17
4,123
3,208
3,49
3,273
2,168
0,19
3,63
0,31
3,27
3,15
4,86
1,32
0,491
1,243
1,135
3,51
4,349
2,194
0,570
2,189
2,13
3,256
0,40
4,55
1,90
0,66
2,270
0,134
3,24
1,27
1,272
1,160
4,76
4,96
1,107
3,26
4,30
4,131
2,79
0,210
2,245
3,67
0,131
1,258
1,48
4,61
4,64
3,242
1,229
2,99
3,48
0,213
2,41
3,63
1,136
4,65
2,74
3,177
3,176
1,70
0,94
4,39
3,27
4,51
0,185
2,163
2,76
2,39
2,221
0,162
2,327
0,165
1,130
4,65
2,124
0,78
4,205
1,54
4,23
3,102
3,29
0,192
1,105
0,138
1,200
3,36
0,230
1,230
0,268
4,16
0,67
3,211
0,145
0,121
1,246
4,44
2,21
3,31
4,108
3,95
4,35
2,154
2,39
3,270
3,394
4,42
1,69
3,241
1,214
3,176
3,36
4,35
1,40
3,55
2,147
2,246
2,208
0,65
3,33
0,31
4,166
0,74
2,86
4,45
4,31
3,71
2,32
0,41
1,90
2,145
1,68
4,86
0,68
2,76
2,161
3,309
1,95
4,45
2,44
2,232
3,127
2,336
3,132
3,63
4,30
2,18
4,71
1,47
1,175
1,170
3,27
3,230
1,56
4,67
3,152
0,63
4,27
1,65
0,238
2,36
2,151
1,71
0,25
1,143
1,173
3,180
2,81
2,200
3,227
2,59
1,169
0,188
3,122
2,155
1,119
1,17
1,21
2,371
1,69
1,38
3,391
3,256
4,33
2,125
3,54
3,44
4,52
2,98
3,62
2,97
0,15
2,274
0,127
2,26
3,90
3,61
1,396
4,58
4,109
3,32
1,188
3,18
4,16
4,48
1,257
0,43
3,132
2,279
4,43
4,106
4,16
3,62
0,224
3,33
2,26
0,44
1,91
0,139
2,299
2,70
3,93
3,27
3,94
2,109
0,88
4,13
2,248
1,119
0,165
1,177
0,91
3,249
0,31
2,60
4,101
0,75
1,45
2,104
2,25
4,16
4,110
3,87
2,80
1,101
2,27
1,138
3,16
3,65
1,83
1,114
1,48
1,38
2,73
2,98
0,99
3,32
1,209
2,131
1,113
2,195
1,27
0,94
2,8
3,78
0,258
2,68
0,110
3,27
0,70
2,117
4,30
4,80
3,47
0,113
2,47
3,56
2,59
2,46
3,171
1,98
3,424
1,27
2,76
2,19
4,23
1,136
2,132
1,16
1,114
3,36
3,20
2,157
4,23
1,138
0,69
1,214
4,37
0,83
1,40
4,72
1,106
4,32
2,45
2,68
2,428
3,63
3,30
3,85
3,144
2,23
4,64
0,22
3,32
1,283
1,244
4,38
3,57
1,64
1,32
4,147
3,132
1,50
2,65
2,154
4,54
0,59
3,86
0,340
4,255
2,226
2,144
1,41
2,101
3,45
3,113
4,36
0,877
2,93
4,15
1,22
4,133
3,88
2,48
3,42
3,133
1,103
4,44
3,332
1,106
1,377
3,147
0,107
0,101
3,41
1,59
2,107
3,135
2,200
0,203
2,118
0,122
4,52
4,83
3,143
0,268
3,25
2,334
1,25
1,116
3,249
0,64
0,176
3,88
0,74
0,45
1,685
3,135
1,354
4,91
4,108
4,264
3,51
1,101
3,119
1,395
0,36
2,34
2,388
0,20
0,305
3,63
0,116
2,29
1,982
4,163
0,28
4,25
0,151
4,79
2,90
2,73
1,281
1,50
0,114
2,39
2,239
3,188
1,175
4,20
2,191
0,132
4,186
4,29
1,32
4,189
3,17
0,70
0,167
2,123
2,213
0,83
2,45
2,125
4,310
4,49
4,78
2,55
1,34
0,51
3,59
4,36
3,49
1,124
2,68
0,39
1,112
2,36
1,14
3,247
4,204
4,216
3,63
4,25
4,48
3,25
3,35
3,176
1,150
2,416
2,68
0,53
4,54
2,49
4,14
1,94
2,137
3,143
0,222
4,99
1,126
0,25
1,54
4,29
1,139
1,90
0,68
1,187
4,25
0,82
4,52
3,57
3,204
2,78
3,267
0,226
4,25
0,99
1,75
3,67
4,73
4,17
0,148
3,80
2,295
0,99
3,40
1,96
4,247
0,167
1,67
1,73
3,48
4,21
0,61
2,28
1,23
2,168
2,169
2,116
4,63
2,105
0,35
4,26
2,22
4,93
3,95
3,59
4,208
2,309
2,147
3,72
1,345
2,81
1,123
0,161
3,97
3,36
1,81
2,158
4,113
0,202
2,148
1,134
1,65
1,509
2,35
4,82
0,53
1,18
3,205
3,177
0,102
4,47
4,81
2,168
2,138
4,51
1,157
2,40
2,59
2,119
0,193
2,10
2,234
1,230
1,77
3,136
0,132
1,198
4,167
4,342
2,43
0,689
0,112
1,48
2,56
2,48
0,115
4,71
4,106
3,112
2,30
0,130
1,71
2,99
1,204
3,50
3,18
3,121
4,44
1,60
4,130
1,891
2,161
